# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
cacheStateStorage.get.duration,1781855843126000000,1781855903170000000,312
cacheStateStorage.set.duration,1781855843126000000,1781855903170000000,56
cacheStateStorage.set.counter,1781855843126000000,1781855903170000000,3
cacheStateStorage.get.counter,1781855843126000000,1781855903170000000,35
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1781855843126000000,1781855903170000000,4
workspaceModel.update.unloaded.entities.ms,1781855843126000000,1781855903170000000,0
workspaceModel.pre.handlers.ms,1781855843126000000,1781855903170000000,8
workspaceModel.initializing.ms,1781855843126000000,1781855903170000000,75
workspaceModel.workspaceFileIndexData.processFileSets.ms,1781855843126000000,1781855903170000000,0
workspaceModel.workspaceFileIndexData.updateDirtyEntities.ms,1781855843126000000,1781855903170000000,0
workspaceModel.full.replace.project.model.ms,1781855843126000000,1781855903170000000,18
workspaceModel.workspaceFileIndexData.getDirectoriesByPackageName.ms,1781855843126000000,1781855903170000000,107
workspaceModel.workspaceFileIndexData.init.ms,1781855843126000000,1781855903170000000,291
workspaceModel.cachedValueWithParameters.from.cache.count,1781855843126000000,1781855903170000000,13274
workspaceModel.updates.precise.ms,1781855843126000000,1781855903170000000,164
workspaceModel.cachedValue.clear.count,1781855843126000000,1781855903170000000,0
workspaceModel.updates.ms,1781855843126000000,1781855903170000000,575
workspaceModel.workspaceFileIndexData.instances.count,1781855843126000000,1781855903170000000,1
workspaceModel.to.snapshot.ms,1781855843126000000,1781855903170000000,3
workspaceModel.loading.from.cache.ms,1781855843126000000,1781855903170000000,543
workspaceModel.cachedValueWithParameters.total.get.count,1781855843126000000,1781855903170000000,13277
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1781855843126000000,1781855903170000000,1580
workspaceModel.cachedValue.total.get.count,1781855843126000000,1781855903170000000,130
workspaceModel.collect.changes.ms,1781855843126000000,1781855903170000000,0
workspaceModel.check.recursive.update.ms,1781855843126000000,1781855903170000000,3
workspaceModel.workspaceFileIndexData.markDirty.ms,1781855843126000000,1781855903170000000,0
workspaceModel.replace.project.model.ms,1781855843126000000,1781855903170000000,0
workspaceModel.entityStorageSnapshotImpl.instances.count,1781855843126000000,1781855903170000000,22
workspaceModel.on.before.changed.ms,1781855843126000000,1781855903170000000,244
workspaceModel.init.bridges.ms,1781855843126000000,1781855903170000000,75
workspaceModel.loading.total.ms,1781855843126000000,1781855903170000000,565
workspaceModel.cachedValue.calculated.count,1781855843126000000,1781855903170000000,15
workspaceModel.workspaceFileIndexData.getPackageName.ms,1781855843126000000,1781855903170000000,25
workspaceModel.on.changed.ms,1781855843126000000,1781855903170000000,82
